company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,total_funding,product_url,indeed_url,growth_percentage
AI 21,ai21.com,Tel Aviv,IL,Israel,149,http://www.linkedin.com/company/ai21,2017,AI,5,23478000,1,,Ahren Innovation Capital Fund,,,664000000,,,https://www.growjo.com/company/AI_21,https://www.indeed.com/jobs?q=company%3A(AI 21),0.82
Helm.ai,helm.ai,Menlo Park,CA,United States,58,http://www.linkedin.com/company/helm.ai,2016,AI,26,7429800,1,,Freeman Group,,,431000000,$69M,69000000,https://www.growjo.com/company/Helm.ai,https://www.indeed.com/jobs?q=company%3A(Helm.ai),0.87
Kumo.AI,Kumo.AI,San Francisco,CA,United States,43,http://www.linkedin.com/company/kumo-ai/,2021,AI,59,4788000,1,,Sequoia Capital,,,100000000,,,https://www.growjo.com/company/Kumo.AI,https://www.indeed.com/jobs?q=company%3A(Kumo.AI),1.69
Nowports,nowports.com,Monterrey,,Mexico,898,http://www.linkedin.com/company/nowports,2018,AI,70,94394300,1,,SoftBank Latin America Fund,,,1100000000,,,https://www.growjo.com/company/Nowports,https://www.indeed.com/jobs?q=company%3A(Nowports),1.34
Adept,adept.ai,San Francisco,CA,United States,36,https://www.linkedin.com/company/adeptai/,,AI,71,4043200,1,,General Catalyst,,,1000000000,,,https://www.growjo.com/company/Adept,https://www.indeed.com/jobs?q=company%3A(Adept),0.38
Tome,beta.tome.app,San Francisco,CA,United States,46,https://www.linkedin.com/company/magical-tome/,2020,AI,72,5107200,1,,Lightspeed Venture Partners,,,300000000,,,https://www.growjo.com/company/Tome,https://www.indeed.com/jobs?q=company%3A(Tome),0.77
Pano,pano.ai,San Francisco,CA,United States,47,http://www.linkedin.com/company/pano-ai,,AI,73,5213600,1,,Initialized Capital,,,90000000,,,https://www.growjo.com/company/Pano,https://www.indeed.com/jobs?q=company%3A(Pano),0.68
Rebellions,rebellions.ai,Seoul,,South Korea,50,http://www.linkedin.com/company/rebellions-ai,2020,AI,80,6455400,1,,Temasek's Pavilion Capital,,,283000000,,,https://www.growjo.com/company/Rebellions,https://www.indeed.com/jobs?q=company%3A(Rebellions),0.56
Viz.ai,viz.ai,San Francisco,CA,United States,409,http://www.linkedin.com/company/viz.ai,2016,AI,78,169726200,47,,"Tiger Global, Insight",,,1200000000,$151.6M,151600000,https://www.growjo.com/company/Viz.ai,https://www.indeed.com/jobs?q=company%3A(Viz.ai),0.08
Mem Labs,mem.ai,Los Altos Hills,CA,United States,43,https://www.linkedin.com/company/mem-labs,2019,AI,84,4788000,1,,"Kevin Moody, Dennis Xu",,,110000000,,,https://www.growjo.com/company/Mem_Labs,https://www.indeed.com/jobs?q=company%3A(Mem Labs),0.43
Anyscale,anyscale.com,San Francisco,CA,United States,286,http://www.linkedin.com/company/joinanyscale,2019,AI,7,45150000,1,Internet TV,"Andreessen Horowitz, Intel Capital, Foundation Capital",,,1000000000,$160M,160000000,https://www.growjo.com/company/Anyscale,https://www.indeed.com/jobs?q=company%3A(Anyscale),1.01
Augury,augury.com,New York,NY,United States,401,http://www.linkedin.com/company/augury-systems,2012,AI,64,74853800,25,"IIoT, AI, ML, Machine Health, Industrial Analytics, Analytics, Hardware, Internet of Things, saas","Insight, First Round, Eclipse, Qumra, Qualcomm Ventures",,B2B,1000000000,$294M,294000000,https://www.growjo.com/company/Augury,https://www.indeed.com/jobs?q=company%3A(Augury),0.15
Vital,vitaler.com,Atlanta,GA,United States,95,http://www.linkedin.com/company/vital-software,2017,AI,7,14280000,1,,,,,,,,https://www.growjo.com/company/Vital,https://www.indeed.com/jobs?q=company%3A(Vital),3.13
Iterative Scopes,iterativescopes.com,Boston,MA,United States,176,http://www.linkedin.com/company/iterative-scopes,,AI,31,28952000,1,,,,,,$193.6M,193600000,https://www.growjo.com/company/Iterative_Scopes,https://www.indeed.com/jobs?q=company%3A(Iterative Scopes),0.32
Capacity,capacity.com,St Louis,MO,United States,109,http://www.linkedin.com/company/teamcapacity,2017,AI,2,16530000,21,saas,,,,,$61.5M,61500000,https://www.growjo.com/company/Capacity,https://www.indeed.com/jobs?q=company%3A(Capacity),0.06
Chooch AI,chooch.ai,San Mateo,CA,United States,70,http://www.linkedin.com/company/chooch-ai,,AI,74,9013200,1,,,,,,$25.8M,25800000,https://www.growjo.com/company/Chooch_AI,https://www.indeed.com/jobs?q=company%3A(Chooch AI),0.03
Flip.ro,flip.ro,Sectorul 1,,Romania,69,http://www.linkedin.com/company/flipro,,AI,154,9324000,1,,,,,,,,https://www.growjo.com/company/Flip.ro,https://www.indeed.com/jobs?q=company%3A(Flip.ro),3.31
Altered State Machine â Non Fungible Intelligence,alteredstatemachine.xyz,Auckland,,New Zealand,87,http://www.linkedin.com/company/altered-state-machine,,AI,171,13020000,1,,,,,,,,https://www.growjo.com/company/Altered_State_Machine_â_Non_Fungible_Intelligence,https://www.indeed.com/jobs?q=company%3A(Altered State Machine â Non Fungible Intelligence),3.14
Cohere,cohere.ai,Toronto,ON,CAN,162,http://www.linkedin.com/company/cohere-ai,,AI,13,25585000,1,,,,,,$56.1M,56100000,https://www.growjo.com/company/Cohere,https://www.indeed.com/jobs?q=company%3A(Cohere),1.57
