dt_f,dt,bend_borrow_volume,nftfi_borrow_volume,pine_borrow_volume,arcade_borrow_volume,jpegd_borrow_volume,drops_borrow_volume,x2y2_borrow_volume,paraspace_borrow_volume,cumu_borrow_volume_bend,cumu_borrow_volume_nftfi,cumu_borrow_volume_pine,cumu_borrow_volume_arcade,cumu_borrow_volume_jpegd,cumu_borrow_volume_drops,cumu_borrow_volume_x2y2,cumu_borrow_volume_paraspace,dt (1),bend_repay_volume,nftfi_repay_volume,pine_repay_volume,arcade_repay_volume,jpegd_repay_volume,drops_repay_volume,x2y2_repay_volume,paraspace_repay_volume,cumu_repay_volume_bend,cumu_repay_volume_nftfi,cumu_repay_volume_pine,cumu_repay_volume_arcade,cumu_repay_volume_jpegd,cumu_repay_volume_drops,cumu_repay_volume_x2y2,cumu_repay_volume_paraspace,dt (2),bend_borrow_count,nftfi_borrow_count,pine_borrow_count,arcade_borrow_count,jpegd_borrow_count,drops_borrow_count,x2y2_borrow_count,paraspace_borrow_count,dt (3),bend_repay_count,nftfi_repay_count,pine_repay_count,arcade_repay_count,jpegd_repay_count,drops_repay_count,x2y2_repay_count,paraspace_repay_count
2023-01-24 00:00,2023-01-24 00:00,1065233.0728713393,702893.9186141698,90.2368316055552,144147.80964583321,0,3245.9291944444317,312229.5801974397,474823.0424326451,219406749.10808188,330300791.8717959,4165280.3436172614,45912513.37479169,5710514.734203777,4982706.64358315,24896599.74857766,14365090.280048616,2023-01-24 00:00,870979.0339132365,694793.4467363454,83.56771099965344,151915.83150277726,0,12753.811593890909,292689.2202704709,184609.38114120925,161101131.54669285,270958693.6933298,1866764.4800822872,32621480.874748506,4769717.622758486,4197238.423540497,21567952.28280823,5709858.17362992,2023-01-24 00:00,45,116,1,7,0,1,84,16,2023-01-24 00:00,25,92,7,6,0,2,68,28
2023-01-25 00:00,2023-01-25 00:00,1655446.4461219201,704774.9310417649,155.0969073711107,11651.969043055546,0,0,774577.8130076478,748682.1345072347,221062195.5542038,331005566.80283767,4165435.4405246326,45924165.34383474,5710514.734203777,4982706.64358315,25671177.56158531,15113772.414555851,2023-01-25 00:00,944611.9029566541,540019.4872938609,0,189351.63028124947,0,0,755635.372728836,437799.8305521218,162045743.4496495,271498713.18062365,1866764.4800822872,32810832.505029757,4769717.622758486,4197238.423540497,22323587.655537065,6147658.004182042,2023-01-25 00:00,27,175,1,4,0,0,78,38,2023-01-25 00:00,38,73,0,2,0,0,66,30
2023-01-26 00:00,2023-01-26 00:00,1300353.180341905,999147.752052557,0,698630.4940451396,30705.415055598285,1287.3487055555593,362318.46157217067,425892.9160640531,222362548.7345457,332004714.5548902,4165435.4405246326,46622795.83787988,5741220.149259375,4983993.992288705,26033496.02315748,15539665.330619905,2023-01-26 00:00,328261.2914188256,944799.3861149894,0,57528.60234722229,6594.339759559465,4183.925131888498,322541.18510010536,341850.36936274805,162374004.74106833,272443512.56673867,1866764.4800822872,32868361.107376978,4776311.962518046,4201422.348672385,22646128.84063717,6489508.37354479,2023-01-26 00:00,30,110,0,13,1,1,79,30,2023-01-26 00:00,23,74,0,3,2,1,68,24
2023-01-27 00:00,2023-01-27 00:00,388702.34551301,319884.2263091337,815.4198579991657,180469.3144357637,0,428.36672437499954,149050.9816354991,1624473.2947460075,222751251.08005872,332324598.78119934,4166250.860382632,46803265.15231565,5741220.149259375,4984422.35901308,26182547.00479298,17164138.625365913,2023-01-27 00:00,614286.5910674,324242.8380112724,0,14600,1228,34533.37871005727,104807.42552192697,197681.3825569043,162988291.33213574,272767755.40474993,1866764.4800822872,32882961.107376978,4777539.962518046,4235955.727382443,22750936.2661591,6687189.756101694,2023-01-27 00:00,33,103,1,6,0,1,64,82,2023-01-27 00:00,32,60,0,3,1,3,47,33
2023-01-28 00:00,2023-01-28 00:00,698677.8426980713,595834.446188613,17.000217157777747,1036181.7023888872,0,2085.8411527777753,424991.15177433647,750175.2336299913,223449928.9227568,332920433.22738796,4166267.86059979,47839446.85470454,5741220.149259375,4986508.200165858,26607538.156567317,17914313.858995903,2023-01-28 00:00,234319.43374625425,270371.3639003311,0.0029965001678097978,5411,0,0,391359.2763420185,424729.6777702633,163222610.765882,273038126.76865023,1866764.4830787873,32888372.107376978,4777539.962518046,4235955.727382443,23142295.542501118,7111919.4338719575,2023-01-28 00:00,27,168,1,9,0,2,84,49,2023-01-28 00:00,18,75,1,1,0,0,73,28
2023-01-29 00:00,2023-01-29 00:00,276677.2964024342,950051.5529392577,991.3305448201986,244821.53199999998,0,0,242332.40015919995,518201.5299279797,223726606.21915922,333870484.7803272,4167259.19114461,48084268.386704534,5741220.149259375,4986508.200165858,26849870.556726515,18432515.388923883,2023-01-29 00:00,452901.4558057281,751802.3938331524,1213.8801930111872,8200,0,0,258162.10948641135,377670.4791979289,163675512.2216877,273789929.1624834,1867978.3632717985,32896572.107376978,4777539.962518046,4235955.727382443,23400457.65198753,7489589.913069886,2023-01-29 00:00,21,196,3,7,0,0,69,26,2023-01-29 00:00,17,95,2,2,0,0,59,26
2023-01-30 00:00,2023-01-30 00:00,460944.7399920904,481656.4030640754,4310.682462300424,369943.9519104173,25621.772422258,6015.6859103959905,285191.9711817257,686587.1069968768,224187550.9591513,334352141.1833913,4171569.8736069105,48454212.33861495,5766841.921681633,4992523.886076254,27135062.52790824,19119102.49592076,2023-01-30 00:00,409251.1869475958,287302.3092153381,0.7565856028958348,72580.50935416679,0,5083.106500900116,307790.2348894386,399858.95450238435,164084763.4086353,274077231.47169876,1867979.1198574014,32969152.616731144,4777539.962518046,4241038.833883343,23708247.88687697,7889448.86757227,2023-01-30 00:00,28,114,1,7,1,6,79,39,2023-01-30 00:00,24,77,1,2,0,5,64,22
2023-01-31 00:00,2023-01-31 00:00,360651.8795234612,1475658.6909918883,5282.217902168612,110533.40861111114,0,4820.9918758911535,375963.8812929235,174380.0979957571,224548202.83867475,335827799.87438315,4176852.091509079,48564745.74722606,5766841.921681633,4997344.877952145,27511026.409201164,19293482.593916517,2023-01-31 00:00,285562.05294087634,1158908.3849752499,0,8800,0,0,168563.75372720935,64653.618406230424,164370325.46157616,275236139.856674,1867979.1198574014,32977952.616731144,4777539.962518046,4241038.833883343,23876811.64060418,7954102.485978501,2023-01-31 00:00,19,103,2,3,0,6,78,18,2023-01-31 00:00,13,67,0,3,0,0,55,16
2023-02-01 00:00,2023-02-01 00:00,444936.6028452028,370313.41580250004,292.1449123244173,53996.254516389,0,1972.5051444444473,415556.0380282752,502224.0615013034,224993139.44151995,336198113.29018563,4177144.2364214035,48618742.001742445,5766841.921681633,4999317.38309659,27926582.447229438,19795706.65541782,2023-02-01 00:00,274698.32202931005,401942.85117664,297.27310805652843,82604.19884277796,0,1069.5764641186859,266530.66840409866,299651.00969936466,164645023.7836055,275638082.70785064,1868276.3929654579,33060556.815573923,4777539.962518046,4242108.410347462,24143342.309008278,8253753.495677866,2023-02-01 00:00,31,121,2,10,0,2,74,24,2023-02-01 00:00,24,94,3,6,0,2,51,20
2023-02-02 00:00,2023-02-02 00:00,348050.43963695096,672310.6143217877,0,397836.7716150105,0,0,141883.86156970036,556787.7815336795,225341189.8811569,336870423.9045074,4177144.2364214035,49016578.77335746,5766841.921681633,4999317.38309659,28068466.308799136,20352494.4369515,2023-02-02 00:00,281028.53636862617,335373.8368744784,1339.457975287665,13855.515024652768,0,802.9684996211138,153993.3524063522,219484.7087287727,164926052.31997412,275973456.5447251,1869615.8509407456,33074412.330598578,4777539.962518046,4242911.378847083,24297335.66141463,8473238.20440664,2023-02-02 00:00,32,106,0,18,0,0,58,27,2023-02-02 00:00,27,71,2,6,0,2,51,22
2023-02-03 00:00,2023-02-03 00:00,1362803.960178916,512940.88241258066,796.960994043471,271256.0229954165,0,0,299877.0425064499,429709.11089235044,226703993.8413358,337383364.78691995,4177941.197415447,49287834.79635288,5766841.921681633,4999317.38309659,28368343.351305585,20782203.54784385,2023-02-03 00:00,184722.94673182454,930792.3704684185,0,16000,0,0,257224.88694659114,313870.77354897605,165110775.26670596,276904248.91519356,1869615.8509407456,33090412.330598578,4777539.962518046,4242911.378847083,24554560.548361223,8787108.977955615,2023-02-03 00:00,44,169,2,7,0,0,88,22,2023-02-03 00:00,15,93,0,1,0,0,78,32
2023-02-04 00:00,2023-02-04 00:00,783526.8160458341,539090.0724249282,0,153485.36449305585,0,0,397701.01591241214,534190.3824834798,227487520.65738162,337922454.8593449,4177941.197415447,49441320.160845935,5766841.921681633,4999317.38309659,28766044.367218,21316393.93032733,2023-02-04 00:00,148826.72467263872,530625.3363584015,0,100102.49291666686,0,1251.2936742699503,223563.48488446718,403276.9019537709,165259601.9913786,277434874.251552,1869615.8509407456,33190514.823515244,4777539.962518046,4244162.672521353,24778124.03324569,9190385.879909387,2023-02-04 00:00,45,135,0,5,0,0,137,22,2023-02-04 00:00,18,95,0,1,0,2,54,45
2023-02-05 00:00,2023-02-05 00:00,1153374.5704523514,616130.2535470639,77826.897127491,80957.62566250007,0,0,331983.6751181142,473449.92212105106,228640895.227834,338538585.112892,4255768.094542938,49522277.78650843,5766841.921681633,4999317.38309659,29098028.042336114,21789843.85244838,2023-02-05 00:00,244874.98426420122,276130.9888408212,3592.9246644204804,2148.4370916666703,0,0,217433.17638112544,350891.3383043759,165504476.9756428,277711005.2403928,1873208.775605166,33192663.26060691,4777539.962518046,4244162.672521353,24995557.209626816,9541277.218213763,2023-02-05 00:00,36,133,3,10,0,0,92,50,2023-02-05 00:00,25,91,3,2,0,0,51,55
2023-02-06 00:00,2023-02-06 00:00,1376896.34358506,525542.1931447464,4091.358590044449,115337.99178611122,0,0,362838.0692499673,473205.96534664475,230017791.57141906,339064127.3060367,4259859.453132982,49637615.77829455,5766841.921681633,4999317.38309659,29460866.111586083,22263049.817795027,2023-02-06 00:00,581187.0532585321,521925.6694943817,63.44843062813896,51000,0,0,315328.7696543364,453614.2621978927,166085664.02890134,278232930.9098872,1873272.2240357941,33243663.26060691,4777539.962518046,4244162.672521353,25310885.979281154,9994891.480411656,2023-02-06 00:00,43,176,2,5,0,0,110,30,2023-02-06 00:00,24,109,1,2,0,0,86,32
2023-02-07 00:00,2023-02-07 00:00,1825779.7629022726,707235.7444287515,0,306336.59205694415,0,0,487104.3739868287,407634.67532387027,231843571.33432132,339771363.05046546,4259859.453132982,49943952.37035149,5766841.921681633,4999317.38309659,29947970.48557291,22670684.493118897,2023-02-07 00:00,635603.2898657112,911842.2292970315,31.774207089279628,0,0,0,269955.72049263946,98191.79021714517,166721267.31876704,279144773.13918424,1873303.9982428835,33243663.26060691,4777539.962518046,4244162.672521353,25580841.699773792,10093083.2706288,2023-02-07 00:00,59,185,0,9,0,0,93,27,2023-02-07 00:00,35,149,2,0,0,0,69,13
2023-02-08 00:00,2023-02-08 00:00,1399031.388697593,833166.5352395024,35989.00475608758,86862.92458645807,0,1667.3023541666612,1296749.5713695013,680952.3774695811,233242602.7230189,340604529.585705,4295848.45788907,50030815.29493795,5766841.921681633,5000984.685450756,31244720.056942414,23351636.870588478,2023-02-08 00:00,828507.0177331237,732141.2213194456,152.50458445681005,53567.91261416666,0,771.6442933854421,687482.2127694363,213943.7594021674,167549774.33650017,279876914.3605037,1873456.5028273403,33297231.173221078,4777539.962518046,4244934.316814738,26268323.91254323,10307027.030030968,2023-02-08 00:00,53,189,6,10,0,1,139,28,2023-02-08 00:00,24,134,4,4,0,2,68,39
2023-02-09 00:00,2023-02-09 00:00,603185.5554276025,2131004.413835248,3160.2188718750076,112955.76755156263,0,6482.500250000016,421539.7089916493,183710.66480436063,233845788.27844653,342735533.9995402,4299008.676760945,50143771.06248952,5766841.921681633,5007467.185700756,31666259.765934065,23535347.53539284,2023-02-09 00:00,191223.07607499068,1642414.7352121559,14.04421151084465,1134.4375437500028,0,162.06412687506293,261116.14460142262,280172.52482775546,167740997.41257516,281519329.0957158,1873470.547038851,33298365.610764828,4777539.962518046,4245096.380941614,26529440.057144653,10587199.554858724,2023-02-09 00:00,41,199,3,12,0,2,85,17,2023-02-09 00:00,9,144,1,1,0,1,31,28
