dt,bend_repay_volume,nftfi_repay_volume,pine_repay_volume,arcade_repay_volume,jpegd_repay_volume,drops_repay_volume,x2y2_repay_volume,paraspace_repay_volume,total_repay_volume,cumu_repay_volume_bend,cumu_repay_volume_nftfi,cumu_repay_volume_pine,cumu_repay_volume_arcade,cumu_repay_volume_jpegd,cumu_repay_volume_drops,cumu_repay_volume_x2y2,cumu_repay_volume_paraspace
2023-04-12 00:00,35967.561356863866,1335789.5975658554,0,0,0,3098.5486624740774,0,367755.14810399053,1742610.855689184,233252841.67362764,326350312.3721383,2189715.0825583884,24160107.24813466,4813170.34924807,4701789.629700781,27347931.145381767,115565964.98365863
2023-04-11 00:00,598743.9991662441,537890.3381161726,0,3826.555458333364,0,450,0,1296808.6004391983,2437719.493179948,233216874.11227077,325014522.7745725,2189715.0825583884,24160107.24813466,4813170.34924807,4698691.0810383065,27347931.145381767,115198209.83555463
2023-04-10 00:00,1041246.8184675701,555937.3011372496,207.44226109884994,600,0,297.61677366212484,0,472447.60983500606,2070736.7884745868,232618130.11310452,324476632.4364563,2189715.0825583884,24156280.692676328,4813170.34924807,4698241.0810383065,27347931.145381767,113901401.23511542
2023-04-09 00:00,464292.95551027806,245866.69110022322,13300.892987718222,0,0,1000,0,367652.2155932297,1092112.755191449,231576883.29463696,323920695.13531905,2189507.6402972895,24155680.692676328,4813170.34924807,4697943.464264644,27347931.145381767,113428953.62528042
2023-04-08 00:00,229421.36344494365,468582.92822131695,94564.50283890634,0,0,296.5,0,309468.93406770384,1102334.2285728708,231112590.33912668,323674828.4442188,2176206.747309571,24155680.692676328,4813170.34924807,4696943.464264644,27347931.145381767,113061301.40968719
2023-04-07 00:00,393771.0248336432,684360.6989436763,2527.5058429785645,7454.138416666688,0,13576.072765157103,0,665256.28398189,1766945.724784012,230883168.97568172,323206245.51599747,2081642.244470665,24155680.692676328,4813170.34924807,4696646.964264644,27347931.145381767,112751832.47561948
2023-04-06 00:00,727879.1368110781,759780.283506585,0,6581.196222222231,0,0,0,747930.0515500756,2242170.6680899607,230489397.95084807,322521884.8170538,2079114.7386276864,24148226.55425966,4813170.34924807,4683070.891499487,27347931.145381767,112086576.19163759
2023-04-05 00:00,412782.28458257613,2193549.7705594143,9701.733235184569,0,0,763.41315905525,0,1228012.55930139,3844809.76083762,229761518.814037,321762104.5335472,2079114.7386276864,24141645.35803744,4813170.34924807,4683070.891499487,27347931.145381767,111338646.14008752
2023-04-04 00:00,158960.3511070094,481233.5054192477,0.6252261376356665,6397.260531250002,0,0,0,545059.5485442502,1191651.290827895,229348736.5294544,319568554.7629878,2069413.0053925018,24141645.35803744,4813170.34924807,4682307.478340431,27347931.145381767,110110633.58078612
2023-04-03 00:00,329938.17482027935,438388.5158098094,422.45638246544047,0,0,98652.64813235209,0,562792.895843018,1430194.690987924,229189776.1783474,319087321.25756854,2069412.3801663641,24135248.097506188,4813170.34924807,4682307.478340431,27347931.145381767,109565574.03224188
2023-04-02 00:00,558528.5697044539,492902.1909326032,0,2997.052911111111,0,9777.65135053575,0,672424.56024559,1736630.025144294,228859838.00352713,318648932.7417587,2068989.9237838986,24135248.097506188,4813170.34924807,4583654.830208079,27347931.145381767,109002781.13639887
2023-04-01 00:00,448929.2364381362,358894.29930990346,4621.864339110903,7724.2630416666925,0,0,0,661107.2088845919,1481276.8720134092,228301309.4338227,318156030.5508261,2068989.9237838986,24132251.044595078,4813170.34924807,4573877.1788575435,27347931.145381767,108330356.57615328
2023-03-31 00:00,650463.4304134756,840310.0964345748,5.266140028075498,1268.7200944444405,0,3896.8221150536824,0,576530.536672657,2072474.8718702337,227852380.19738457,317797136.25151616,2064368.0594447877,24124526.78155341,4813170.34924807,4573877.1788575435,27347931.145381767,107669249.36726868
2023-03-30 00:00,220682.66057798185,1012862.9262203755,0,0,0,3877.2535321476016,0,664393.5443415082,1901816.384672013,227201916.76697108,316956826.15508157,2064362.7933047595,24123258.061458964,4813170.34924807,4569980.35674249,27347931.145381767,107092718.83059603
2023-03-29 00:00,274815.52810401004,526542.6623313919,1875.915047547804,23621.60623402777,0,0,0,344454.978874117,1171310.6905910945,226981234.1063931,315943963.2288612,2064362.7933047595,24123258.061458964,4813170.34924807,4566103.103210342,27347931.145381767,106428325.28625453
2023-03-28 00:00,446042.6013041585,1114433.569941964,230.91209734036474,1738.9043194444448,0,0,0,2011755.5636939988,3574201.551356906,226706418.5782891,315417420.5665298,2062486.8782572118,24099636.455224935,4813170.34924807,4566103.103210342,27347931.145381767,106083870.30738041
2023-03-27 00:00,700416.3963784904,657388.6584723758,0,1221.46879652778,0,828.4315957546446,0,466216.25220663904,1826071.2074497873,226260375.97698495,314302986.9965879,2062255.9661598713,24097897.550905492,4813170.34924807,4566103.103210342,27347931.145381767,104072114.74368641
2023-03-26 00:00,802984.4344209046,594829.5431782651,165.71129131225868,4148.3984531250135,0,16064.171671360367,0,1263504.09480847,2681696.3538234374,225559959.58060646,313645598.3381155,2062255.9661598713,24096676.082108963,4813170.34924807,4565274.671614587,27347931.145381767,103605898.49147977
2023-03-25 00:00,918392.0592380454,975213.125456461,4.873310343015026,3759.3692715277875,0,2175.203703,0,1357682.627667491,3257227.258646868,224756975.14618555,313050768.79493725,2062090.254868559,24092527.68365584,4813170.34924807,4549210.499943227,27347931.145381767,102342394.3966713
