dt,bend_num_nft_liq,nftfi_num_nft_liq,pine_num_nft_liq,arcade_num_nft_liq,jpegd_num_nft_liq,drops_num_nft_liq,x2y2_num_nft_liq,total_liq,bend_cumu_nft_liq,nftfi_cumu_nft_liq,pine_cumu_nft_liq,arcade_cumu_nft_liq,jpegd_cumu_nft_liq,drops_cumu_nft_liq,x2y2_cumu_nft_liq
2023-02-07 00:00,0,113,0,0,0,0,0,113,171,8719,71,51,5,21,378
2023-02-07 00:00,0,0,0,0,0,0,2,2,171,8606,71,51,5,21,378
2023-02-06 00:00,0,0,0,0,0,0,1,1,171,8486,71,50,5,21,376
2023-02-06 00:00,0,120,0,0,0,0,0,120,171,8606,71,50,5,21,376
2023-02-06 00:00,0,0,0,3,0,0,0,3,171,8486,71,50,5,21,375
2023-02-05 00:00,0,84,0,0,0,0,0,84,171,8486,71,47,5,21,375
2023-02-05 00:00,0,0,0,0,0,0,6,6,171,8402,71,47,5,21,375
2023-02-04 00:00,0,0,0,0,0,0,10,10,171,8402,71,47,5,21,369
2023-02-04 00:00,0,98,0,0,0,0,0,98,171,8402,71,47,5,21,359
2023-02-03 00:00,0,0,0,0,0,0,7,7,171,8304,71,47,5,21,359
2023-02-03 00:00,0,119,0,0,0,0,0,119,171,8304,71,47,5,21,352
2023-02-02 00:00,0,82,0,0,0,0,0,82,171,8185,71,47,5,21,332
2023-02-02 00:00,0,0,0,0,0,0,20,20,171,8185,71,47,5,21,352
2023-02-02 00:00,0,0,0,2,0,0,0,2,171,8103,71,47,5,21,332
2023-02-01 00:00,0,0,0,0,0,0,7,7,171,8103,71,45,5,21,332
2023-02-01 00:00,0,83,0,0,0,0,0,83,171,8103,71,45,5,21,325
2023-01-31 00:00,0,63,0,0,0,0,0,63,171,8020,71,45,5,21,325
2023-01-31 00:00,0,0,0,0,0,0,9,9,171,7957,71,45,5,21,325
2023-01-30 00:00,0,0,0,0,0,0,7,7,171,7878,71,44,5,21,316
2023-01-30 00:00,0,79,0,0,0,0,0,79,171,7957,71,45,5,21,316
2023-01-30 00:00,0,0,0,1,0,0,0,1,171,7878,71,45,5,21,316
2023-01-29 00:00,0,114,0,0,0,0,0,114,171,7878,71,43,5,21,302
2023-01-29 00:00,0,0,0,0,0,0,7,7,171,7878,71,44,5,21,309
2023-01-29 00:00,0,0,0,1,0,0,0,1,171,7878,71,44,5,21,302
2023-01-28 00:00,0,0,0,0,0,0,12,12,171,7764,71,43,5,21,302
2023-01-28 00:00,0,82,0,0,0,0,0,82,171,7764,71,43,5,21,290
2023-01-27 00:00,0,0,0,0,0,0,14,14,171,7642,71,43,5,21,290
2023-01-27 00:00,0,40,0,0,0,0,0,40,171,7682,71,43,5,21,290
2023-01-26 00:00,0,0,0,0,0,0,14,14,171,7581,71,43,5,21,276
2023-01-26 00:00,0,61,0,0,0,0,0,61,171,7642,71,43,5,21,276
2023-01-26 00:00,0,0,0,0,0,1,0,1,171,7581,71,43,5,21,262
2023-01-25 00:00,0,0,0,0,0,0,11,11,171,7581,71,43,5,20,262
2023-01-25 00:00,0,92,0,0,0,0,0,92,171,7581,71,43,5,20,251
2023-01-24 00:00,0,0,0,0,0,0,12,12,171,7489,71,43,5,20,251
