name,all_time,past_month
BrainDrops,"$74,426.43","$8,635.18"
BYOLand,"$71,368.47",$146.00
alien frens,"$70,005.21",
LilPudgys,"$69,803.79","$15,972.07"
Ethlizards,"$69,339.61",$512.04
GenesisApostle,"$63,208.05",
Colorglyphs,"$61,635.91",
Revenants by Alethea AI,"$61,140.81",
Nakamigos,"$59,681.35","$7,419.97"
The Doge Pound,"$59,442.11",
Sappy Seals,"$58,854.32","$1,576.53"
Party Bears,"$57,374.34",$861.72
Robotos,"$55,539.00",
CryptoMories,"$54,167.21",
KaijuKingz,"$53,573.82",
Neo Tokyo: Identities,"$52,655.27",
,"$51,492.67","$11,689.08"
QXJ0IEJsb2NrcyBQdXJnYXRvcnk=,"$47,368.42","$8,455.34"
VOX Series 1,"$45,675.72",$326.64
Sneaky Vampire Syndicate,"$45,526.78",
Hedz by Matt Furie,"$45,452.68","$16,636.96"
Goons,"$43,928.91",
Nina's Super Cool World,"$43,901.06","$1,928.41"
"Hello, i'm Victor FEWOCiOUS And This is My Life!","$42,631.22","$14,470.51"
Illuminati,"$41,937.15",
CoolmansUniverse,"$41,900.97",
Quantum Key,"$39,849.40",
Impostors Genesis Aliens,"$39,267.42",
Neo Tokyo Part 2: Vault Cards,"$39,091.86",
Loot,"$38,347.04",
Treeverse,"$36,734.35",$285.87
Gutter Birds,"$36,503.90",
Somnium Space Items,"$36,011.90",
DigiDaigaku Heroes,"$35,873.17","$6,005.30"
V1 Cryptopunks (Wrapped),"$34,035.37","$4,005.04"
Farmer,"$33,678.68","$2,661.81"
Killer GF,"$33,358.28",
CryptoMotors,"$32,199.68",
RENGA Black Box,"$31,026.63","$1,067.09"
MoodRollers,"$28,083.43",
The Art of Seasons,"$26,925.24",
Metroverse City Block,"$25,690.28",
PeopleInThePlaceTheyLove,"$25,639.66","$1,109.85"
It's SCAM,"$25,079.27",
Opepen Edition,"$24,257.44","$9,577.01"
Project Godjira Gen 2,"$24,256.90",
Synthetic Dreams,"$24,045.12","$1,833.26"
PXN: Ghost Division,"$23,959.63",$371.39
Kanpai Pandas,"$22,338.72","$5,844.54"
lobsterdao,"$21,885.68",
Project Godjira Genesis,"$21,067.53",
PudgyPresent,"$20,411.69","$4,381.15"
Fabrica Land,"$20,060.70",
10KTF Gucci Grail,"$19,384.78","$5,640.49"
JRNY NFT Club,"$19,104.23",
VeeFriends Series 2,"$19,034.69",$987.70
SHIBOSHIS,"$18,278.01",$309.45
Letters,"$18,234.72",$368.35
RTFKT Animus Egg ,"$17,969.32","$1,963.09"
Blitmap,"$17,950.55","$1,437.42"
VOX Series 2,"$17,221.34",
6529 Gradient,"$16,821.02","$16,821.02"
Josie,"$16,562.17",
Otherside Vessels,"$15,865.84","$6,323.03"
Anonymice,"$14,419.87",
Fomo Dog,"$14,338.28","$1,672.23"
CryptoCitizens,"$14,257.15",
mcgoblin.wtf,"$13,710.52",
ZombieClub Token,"$13,449.74",$59.42
Nanopass,"$13,157.62",
Steady Stack Titans,"$13,041.14",
White Sands Parcel Pass,"$12,543.66",
Grails by PROOF,"$12,445.58",
Neo Tokyo Outer Citizen,"$11,993.08","$8,586.61"
Psychedelics Anonymous Psilocybin,"$11,853.43",
gmDAO Token v2,"$11,620.19",
Yakuza Pandas,"$11,169.36","$2,922.27"
Mad Dog Jones,"$10,970.43",
Grails by PROOF Collective,"$10,515.71",
Neo Tokyo Part 3 Item Caches,"$10,409.41",
LOVE Tennis Art Project by Martin Grasser,"$10,333.42",$690.61
Stoner Cats,"$9,416.66",$38.23
Wrapped CryptoCats,"$9,342.48",
RTFKT Capsule Space Drip 1.2,"$8,022.82",
Kubz,"$7,525.22","$4,352.72"
trevorjonesart,"$7,487.28",
Tigerbob NFT Genesis Collection,"$7,437.43",
Keungz Genesis,"$7,397.16","$7,397.16"
Pascal Boyart,"$7,321.86",
Hackatao On-Chain,"$7,314.30",
Ether Orcs Genesis,"$7,292.66",
Hackatao,"$7,257.06",
The Legend of CCKPUNCH,"$7,152.53",$456.40
Angry Ape Army,"$7,005.28",
CryptoNinja Partners,"$6,815.23",
The Collision by Pak x Trevor Jones,"$6,659.63","$1,449.72"
PREMINT Collector Pass - OFFICIAL,"$6,580.13",$73.96
WE ARE HERE by Hackatao,"$6,516.93",
HENI: Damien Hirst - The Empresses,"$6,344.03","$1,086.83"
Tribe Diamonds,"$6,316.41","$3,817.88"
Meta Bounty Hunters,"$6,298.61",
10KTF Kagami,"$5,829.04","$2,926.80"
Genesis Open Editions by Boss Logic,"$5,436.69",
IO: Imaginary Ones,"$5,112.23",
Neo Tokyo Outer Lands,"$4,834.66",
PROOF OF (ART)WORK,"$4,707.54",
DEGEN TOONZ COLLECTION,"$4,639.97",
Aavegotchi Ethereum,"$4,580.38",
FEWOCiOUS x RTFKT,"$4,348.08",
Neo Tokyo Part 4 Land Deeds,"$4,128.55",
Tom Sachs Rockets,"$3,868.60",
Anata,"$3,506.04",
Queens Open Edition by Hackatao,"$3,479.47",
Eternal Harmony,"$3,465.95",
Decentraland Names,"$3,389.50",
Plasma Bears,"$3,244.59",
LoudPunx,"$3,211.72",$914.69
JOYWORLD JOYtoys,"$3,021.71",
ForgottenSouls,"$3,019.04",$616.39
MadMeerkatBurrow,"$3,011.57",
ACAB,"$2,962.98",
Unstoppable Domains,"$2,927.56",$553.59
Gray Boys,"$2,888.94",
Mocaverse,"$2,879.10",
Crypto Coven,"$2,861.39",
BASTARD GAN PUNKS V2,"$2,832.66",
Rarible,"$2,757.29",$9.99
ASMAIFAAllStarsBoxSet,"$2,755.31",
a KID called BEAST,"$2,564.44",$644.73
Gods Unchained,"$2,532.79",$9.57
Prime Ape Planet,"$2,511.80",
Factura by Mathias Isaksen,"$2,470.48",$218.52
Art Gobblers,"$2,143.04",$488.55
Neo Tokyo Outer Item Caches,"$1,855.33",
SlimHoods,"$1,834.54",
Crash + Burn Open Edition by Mad Dog Jones,"$1,761.54",
"""""MOAR"""" by Joan Cornella","$1,635.17",
MurMurCats,"$1,502.02","$1,502.02"
Rings Genesis by Nick Kuder,"$1,432.34",
Relics Pass,"$1,348.57",
IlluminatiNFT by Truth Labs,"$1,347.39",$842.92
Squiggly,"$1,337.47",
SUPERPLASTIC: SUPERGUCCI,"$1,256.40",
Vegas City Land Lease,"$1,235.93",
Gambling Apes,"$1,224.12",
HAPE PRIME,"$1,209.07",$113.73
MarbleCards,"$1,160.42",
Mind the Gap by MountVitruvius,"$1,150.74",$366.10
Poolsuite Executive Member,"$1,149.09",
"CPG Pop: by """"Crypto Packaged"""" GOODS","$1,118.69",
The Blitnauts,"$1,010.31",
Solvency by Ezra Miller,$945.58,
Karma Monkey,$900.98,$900.98
JOYWORLD S2,$896.79,
SALT,$886.49,$886.49
DarkEchelon,$718.44,$718.44
The Wicked Craniums,$670.82,
PixelChain,$630.16,
MLB Champions,$545.70,
Lil Heroes,$531.68,
Momoguro: Holoself,$406.19,$95.27
10KTF,$355.31,$190.15
Based Ghouls,$164.21,$92.47
DCL Dappcraft Moonminer,$98.96,
Edenhorde,$95.32,
Impasto by M.J. Lindow,$92.30,$92.30
ASMAIFAAllStarsCharacter,$84.54,$18.47
Chain Runners,$56.53,$56.53
MCP Land,$5.17,
CryptoMorphMint,$0.39,
